0,1,2,3,4,5,6,7,8,9
4.99E-17,4.19E-14,1.07E-16,5.14E-14,5.92E-18,8.87E-05,4.70E-17,0.003307784,9.85E-13,0.996603501
0.019105643,0.000838234,0.68617197,0.001197228,0.119710495,0.000572573,0.130222773,0.000457805,0.040881154,0.00084215
9.03E-19,1,3.78E-20,8.41E-13,3.62E-20,8.39E-26,7.16E-19,1.17E-35,1.75E-22,1.01E-31
8.79E-23,1,7.92E-26,4.72E-16,1.14E-25,5.09E-30,2.48E-23,4.36E-41,2.23E-28,1.93E-36
0.276309039,0.001498698,0.10411254,0.056033988,0.05066597,9.12E-05,0.495667885,5.60E-05,0.015489292,7.52E-05
1.68E-18,1,1.41E-19,1.26E-14,6.99E-21,1.96E-25,6.12E-19,3.94E-37,7.05E-23,4.22E-33
0.000594353,0.000109563,0.493730162,0.000235077,0.4128009,4.20E-05,0.091767081,4.39E-06,0.000707057,9.44E-06
0.000864475,8.30E-06,0.016182836,0.000175883,0.01917295,7.95E-08,0.963489187,5.10E-09,0.000106203,5.96E-08
8.54E-17,8.02E-18,1.48E-18,6.01E-22,7.11E-25,0.999999881,1.01E-19,9.69E-08,1.04E-12,3.90E-10
5.84E-25,6.16E-20,1.22E-21,1.72E-22,1.38E-22,2.03E-08,3.00E-23,1,2.79E-17,3.53E-09
7.99E-07,5.08E-07,0.14949552,1.62E-07,0.804212587,3.78E-07,0.046286737,1.60E-08,2.71E-06,5.83E-07
0.001580034,0.000109723,0.00059579,0.00015399,4.55E-05,0.854969974,0.000290817,0.108226776,0.002782302,0.031245142
5.19E-07,5.75E-07,4.33E-08,2.23E-06,2.74E-09,0.177774524,9.45E-08,0.817362051,0.002293071,0.002566886
6.45E-06,0.000124281,1.45E-09,0.99986412,7.82E-09,2.07E-12,5.17E-06,2.40E-14,1.16E-09,1.24E-12
8.78E-05,3.36E-06,0.177201349,6.75E-05,0.65737588,1.83E-06,0.164991526,1.59E-07,0.000270023,6.75E-07
3.93E-13,1,1.37E-14,8.48E-09,2.17E-15,3.23E-17,1.16E-13,2.39E-23,1.57E-16,8.14E-21
0.000154097,9.27E-07,0.979492743,1.31E-06,0.002229359,1.92E-06,0.018054007,2.57E-08,6.55E-05,1.11E-07
0.034829676,0.002098597,0.216478428,0.015186964,0.377857803,0.002450403,0.328416878,0.004109561,0.015470713,0.003100997
5.10E-06,2.73E-09,1.28E-07,2.91E-10,1.23E-08,7.06E-09,1.20E-05,7.25E-12,0.999982715,8.84E-10
0.943672209,4.95E-06,0.000138646,0.000254518,2.63E-06,1.29E-06,0.05590539,2.05E-08,2.06E-05,5.72E-08
0.000113462,7.06E-07,0.982723341,1.28E-06,0.006127083,5.34E-06,0.010976034,2.44E-07,5.19E-05,6.05E-07
8.50E-07,7.82E-07,2.62E-07,1.65E-06,8.70E-09,0.300692733,3.93E-07,0.691438669,0.000553323,0.007311312
2.48E-18,2.29E-15,2.75E-15,1.74E-16,1.56E-15,4.82E-07,4.73E-16,0.999997139,6.72E-14,2.36E-06
6.78E-24,4.29E-25,1.09E-24,1.41E-25,3.76E-30,0.999971152,7.31E-27,2.50E-05,2.25E-16,3.82E-06
5.15E-14,1,1.25E-15,3.71E-09,9.49E-16,2.50E-19,2.51E-14,2.33E-25,7.95E-18,4.29E-22
0.162353985,0.007111934,0.353056238,0.034651662,0.053642526,0.002912129,0.346191771,0.002583221,0.035094279,0.002402253
8.27E-05,1.41E-06,0.105138281,1.30E-05,0.124868551,1.65E-07,0.769846178,3.35E-08,4.95E-05,2.34E-07
0.719632146,0.009788152,0.002708761,0.060366738,0.001338429,0.000183073,0.204861731,4.42E-05,0.001031029,4.58E-05
5.11E-20,1.32E-17,5.41E-17,1.36E-18,4.29E-19,1.11E-06,2.11E-18,0.000610388,2.15E-15,0.999388592
0.002312081,0.003434683,0.004763032,0.445057242,0.518334386,5.59E-06,0.025727039,1.81E-06,0.000353536,1.05E-05
1.39E-19,9.09E-25,1.44E-29,6.13E-26,1.96E-28,1.03E-16,3.63E-22,1.49E-24,1,1.01E-25
1.48E-08,2.43E-11,8.65E-11,1.53E-10,1.24E-12,4.08E-05,4.92E-10,5.49E-11,0.999959232,5.88E-13
0.001165847,0.039502646,2.28E-05,0.958654235,7.58E-05,1.23E-06,0.000391778,3.03E-07,0.000177662,7.64E-06
0.009495515,0.007563441,0.006685595,0.731134184,0.191391716,8.06E-05,0.052159671,9.99E-05,0.001301097,8.83E-05
7.64E-05,1.89E-08,1.85E-06,1.56E-09,1.69E-07,1.10E-05,5.63E-06,1.97E-11,0.99990488,3.94E-12
0.97969236,3.56E-07,1.12E-06,9.88E-05,5.90E-09,3.72E-11,0.020207062,1.30E-14,2.16E-07,5.90E-13
1.75E-25,2.36E-20,1.25E-21,1.47E-23,1.41E-23,5.18E-08,3.87E-23,1,1.31E-18,5.60E-10
1.78E-12,4.89E-12,3.48E-13,9.48E-13,1.08E-16,0.994955486,1.47E-13,0.005017585,9.23E-09,2.69E-05
6.43E-25,2.27E-20,4.68E-22,5.46E-22,4.38E-22,2.03E-09,4.74E-23,1,1.12E-16,2.84E-09
8.29E-24,7.45E-21,5.76E-20,4.88E-23,2.01E-22,7.13E-08,8.31E-22,5.62E-05,1.28E-18,0.999943617
0.854588393,7.10E-06,1.80E-05,0.000781264,2.36E-06,1.03E-07,0.144572985,5.14E-09,2.98E-05,3.36E-08
7.01E-13,1,4.64E-13,1.01E-08,6.14E-13,5.39E-17,6.00E-13,5.98E-23,1.28E-15,2.66E-20
0.261303901,0.025988648,0.064032046,0.246818308,0.073108379,0.000506379,0.320550879,0.000397325,0.00673992,0.000554245
6.35E-11,1.91E-10,7.77E-09,2.18E-10,6.85E-09,0.003632246,2.57E-09,0.755017814,1.96E-08,0.241349942
