,0,1,2,3,4,5,6,7,8,9
0,1.6368443e-13,7.65995e-18,2.0906715e-20,3.7030498e-18,9.371389e-19,1.5977919e-18,1.19388904e-14,8.89456e-23,1.0,5.1654292e-20
1,3.9252798e-05,0.0013937763,0.0023595272,0.00897036,0.97598207,4.571705e-07,0.011108668,1.21290205e-08,0.00014573896,3.128593e-07
2,6.063264e-07,4.915686e-05,4.6116938e-07,0.9999386,1.0171517e-05,4.980956e-14,1.0289771e-06,6.154054e-17,1.6195091e-10,3.1335488e-15
3,0.00024242052,5.763023e-07,7.9624996e-08,3.838487e-06,3.296483e-07,1.9915697e-07,4.80175e-05,2.5743288e-08,0.9997041,3.1582377e-07
4,6.9348095e-12,1.0,1.3795144e-15,5.599399e-09,7.585308e-14,1.673488e-18,4.0569683e-12,2.6507425e-27,1.3825964e-15,3.9253447e-23
5,1.625278e-09,1.1441268e-11,9.2915635e-15,1.1635161e-09,1.1673059e-13,7.0289385e-10,9.537756e-12,9.726408e-16,1.0,1.2604e-13
6,0.00038864888,1.5421556e-05,1.3638098e-05,1.1405103e-05,2.421059e-05,1.4167634e-06,0.0005975927,1.4570733e-07,0.9989452,2.3007663e-06
7,2.3632947e-06,8.454736e-05,2.8941984e-05,0.99966013,0.0002164332,1.9518984e-11,7.677695e-06,2.3010763e-13,1.2080281e-08,3.041167e-12
8,2.2721187e-08,1.2018711e-08,0.79994994,7.537805e-09,0.19565327,9.706483e-09,0.0043966565,4.799129e-10,5.2040377e-08,1.7012962e-09
9,1.8693123e-05,6.096264e-06,0.5978595,2.239212e-05,0.3608929,1.9165785e-05,0.041114014,7.360233e-06,5.3721746e-05,6.064903e-06
10,0.0002105507,6.3452267e-06,0.21327434,0.00026446627,0.39667115,3.2977077e-06,0.38920572,6.8882855e-07,0.00035876097,4.6715563e-06
11,0.9705872,1.6028021e-05,3.188708e-05,0.00027856644,2.8139698e-06,5.0194124e-09,0.029081274,1.6652155e-11,2.052749e-06,9.2371055e-11
12,0.45375934,0.0029299082,0.058805697,0.044563,0.03821022,0.0022141517,0.38609096,0.0016672238,0.010634969,0.0011245603
13,2.1492368e-17,5.8875976e-19,8.405702e-22,2.6698101e-20,3.1736433e-23,0.99999964,1.3263452e-18,4.0906232e-07,1.1026485e-12,1.3966267e-09
14,0.98841846,3.0934828e-07,1.9446143e-06,2.0335867e-05,4.4964832e-08,1.605016e-10,0.01155868,1.7779023e-14,1.3357561e-07,2.5825154e-13
15,0.015511406,0.006656581,0.030143412,0.6970999,0.19623192,0.000102251004,0.052246716,3.5242236e-05,0.0019084621,6.426175e-05
16,0.037715804,0.02457715,0.023524452,0.568762,0.24948667,1.00649e-05,0.09382037,7.0240304e-07,0.0020950777,7.840504e-06
17,2.3304499e-12,2.20135e-10,7.544745e-11,7.3035744e-10,2.7687661e-12,6.441404e-05,1.5848555e-11,0.9999175,2.28496e-09,1.8119257e-05
18,0.058474906,0.0008780165,0.0019587872,0.0011923038,0.00075240916,0.0003951811,0.08387899,0.00030608723,0.85195446,0.00020887294
19,0.24900012,0.0008717036,0.18730882,0.017811233,0.013744008,9.696251e-05,0.51385224,2.6673619e-05,0.017253544,3.477005e-05
20,1.4532662e-15,1.0,3.4698403e-18,9.3602785e-11,2.6898008e-16,7.039872e-18,4.4880706e-15,3.4927492e-25,1.2248866e-19,3.380764e-22
21,3.049173e-18,6.7554287e-16,3.880985e-18,5.3859416e-15,5.6760606e-19,9.082774e-06,2.7678547e-18,0.017119203,3.3230623e-13,0.98287165
22,1.5098729e-15,5.9848245e-14,3.5477785e-18,9.758294e-16,4.1825193e-19,0.99998486,2.6371113e-16,1.3709283e-05,2.103705e-11,1.3888892e-06
23,2.0324617e-11,1.0,1.6486914e-13,1.1544026e-08,1.0549477e-12,3.4053638e-14,4.126364e-11,1.0391949e-19,3.587701e-15,2.9732508e-17
24,1.7594132e-06,4.3707803e-07,3.9118189e-07,4.282354e-06,1.4139285e-07,0.026025347,6.118516e-07,0.43260592,0.00045624527,0.54090494
25,0.11307521,0.023767829,0.20559426,0.15499659,0.15878408,0.009152825,0.2885642,0.010444419,0.027816322,0.0078042345
26,0.7792662,0.00041266286,0.0018950575,0.006431479,0.0005630606,5.8914526e-07,0.21132599,3.3940527e-08,0.00010484957,1.8017815e-07
27,3.55882e-21,1.448946e-26,5.588152e-32,1.8499934e-28,1.2859525e-29,3.1468547e-24,2.2937598e-23,7.7713374e-29,1.0,8.107447e-26
