0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-13.15790749,-15.98472691,-15.26577187,-15.64860916,-13.86190891,-8.752279282,-15.31904221,-5.574798107,-11.36371803,-0.003973447,-13.7266407,-16.78636551,-14.46554661,-16.25341034,-14.2037611,-7.849316597,-15.91363049,-6.081602573,-12.39083195,-0.002684801
-7.868054867,-16.72931099,-0.008573391,-13.14601898,-4.849840164,-17.32130051,-8.078411102,-20.9243679,-11.35196781,-14.66036034,-7.45191431,-16.76945877,-0.003325886,-13.57392025,-6.117051601,-17.78826523,-7.548480988,-21.23186302,-11.97773838,-14.60577297
-12.52772522,-4.02E-05,-13.14260483,-10.93135548,-12.59039879,-14.46181965,-11.92512131,-16.95432472,-11.9940443,-18.47442818,-13.58913231,-4.21E-05,-13.66037941,-10.45890808,-12.70871353,-14.32030582,-12.09113121,-17.18395615,-13.28560734,-19.30870056
-13.77723217,-2.71E-05,-13.99077415,-10.87787628,-13.02538395,-15.2644453,-13.07670689,-17.50795364,-13.19041348,-17.40045357,-13.79989243,-1.91E-05,-14.25509453,-11.36653709,-13.40349483,-14.69347954,-13.17841339,-17.7724247,-13.1017952,-18.05480194
-1.989754438,-10.09805107,-4.223626614,-5.121679783,-5.724221706,-13.47233868,-0.175434053,-13.68456078,-8.282824516,-12.32870483,-2.267750502,-10.91437244,-3.784495115,-4.955994606,-6.346460342,-13.63644123,-0.145326242,-14.6454792,-8.630304337,-12.98383522
-11.12732601,-0.000150073,-11.52985859,-10.69363785,-10.53819466,-12.94434738,-10.49345589,-15.66514397,-9.984378815,-16.54023933,-12.83610439,-2.85E-05,-13.59702778,-11.55960178,-12.39829159,-14.6020937,-12.00327396,-17.07437706,-12.34732628,-18.70211792
-9.013806343,-11.06052208,-3.898713827,-10.20903015,-0.0255324,-13.81457996,-5.351589203,-17.35877991,-10.621562,-13.96766567,-9.111933708,-9.7258358,-4.229226589,-9.551235199,-0.021273177,-13.63805962,-5.085035324,-16.85080528,-9.84163475,-14.34358692
-9.045819283,-14.5217247,-7.862642288,-10.22245598,-5.970040798,-17.83042336,-0.003103918,-19.79138184,-12.14747238,-16.96245384,-8.528481483,-13.10374546,-6.338539124,-9.216845512,-3.588829279,-16.6347084,-0.0301558,-18.7830925,-11.64008522,-16.38220024
-12.39074135,-11.4424715,-14.08442783,-13.97603798,-16.32733345,-0.001121726,-14.59119987,-6.87553072,-9.950807571,-10.6518116,-10.79764843,-10.41764927,-13.82971859,-12.47968769,-15.40492344,-0.003142421,-12.95823765,-5.912970066,-7.958607674,-10.55491161
-13.94691277,-12.99265671,-15.36126614,-12.10824394,-12.7409668,-8.334366798,-15.65438843,-0.000409758,-10.31037045,-8.992697716,-14.11709595,-13.9236002,-15.60666847,-13.77288437,-13.71311569,-7.700952053,-15.96510124,-0.000622079,-10.89922619,-8.82526207
