0,1,2,3,4,5,6,7,8,9
0.142369669,0.015683806,0.210628394,0.118561693,0.197903935,0.005265716,0.249680633,0.004505064,0.050561769,0.004839243
5.43E-21,1.72E-18,1.85E-17,7.39E-18,1.71E-18,5.68E-07,1.04E-17,0.999999285,4.58E-15,1.24E-07
8.48E-18,4.28E-14,6.13E-18,3.76E-14,8.38E-18,7.80E-05,1.00E-16,0.001719075,1.11E-12,0.998202818
1.54E-39,7.94E-32,4.03E-39,2.55E-41,9.04E-49,1,3.56E-38,2.34E-18,1.48E-25,1.02E-23
0.07562504,0.011227583,0.002117001,0.895652895,0.000895563,4.09E-06,0.012354005,5.88E-07,0.002122868,2.59E-07
1.71E-20,5.68E-25,1.09E-22,8.02E-19,1.62E-25,1.28E-13,4.85E-21,5.71E-27,1,5.00E-24
1.68E-14,6.56E-17,2.66E-15,2.92E-17,1.11E-17,1.51E-18,1.33E-14,6.34E-24,1,1.62E-23
0.389301528,0.005398213,0.040450996,0.12711585,0.049033133,0.002017259,0.376038651,0.000511362,0.009406762,0.000726233
6.91E-30,7.86E-24,6.03E-29,1.10E-23,3.62E-29,2.43E-08,3.33E-27,2.62E-06,5.33E-22,0.999997377
5.37E-19,1,8.19E-20,1.39E-15,1.08E-20,4.84E-23,1.85E-19,3.99E-35,2.42E-17,1.71E-30
3.56E-40,1.04E-31,1.89E-37,3.00E-40,2.71E-47,1,6.61E-38,1.19E-17,2.75E-25,5.21E-24
0.000131017,0.988974815,2.02E-06,0.010824241,2.96E-05,6.06E-09,3.27E-05,4.51E-12,5.66E-06,1.94E-10
4.83E-07,5.00E-08,0.030019453,8.63E-06,0.913527717,1.56E-08,0.056425623,1.35E-09,1.81E-05,7.20E-09
0.000918607,0.000152519,0.134856073,0.008779416,0.83677956,1.30E-05,0.016798161,1.16E-06,0.001698017,3.48E-06
0.057351159,0.025695346,4.62E-05,0.909050398,6.92E-05,2.16E-07,0.007704203,3.22E-09,8.33E-05,1.31E-08
0.000233421,1.89E-05,0.753153031,1.15E-05,0.048244813,1.63E-07,0.198067897,1.86E-08,0.000270136,7.42E-08
0.002441049,0.000272722,0.169794294,0.021683587,0.696411562,7.95E-05,0.107354598,1.50E-05,0.00190793,3.98E-05
4.41E-16,1,2.22E-16,1.79E-12,5.29E-15,2.75E-20,6.11E-16,5.45E-28,5.97E-15,1.04E-24
0.000110581,5.53E-05,1.04E-08,0.999831705,4.82E-07,8.01E-13,1.86E-06,8.13E-15,2.18E-09,1.09E-14
0.033172953,0.009374584,3.64E-06,0.955447571,2.28E-06,4.40E-09,0.001991568,3.05E-11,7.35E-06,5.38E-11
6.00E-06,1.30E-06,0.018311954,0.000119776,0.977357886,6.57E-08,0.004145586,1.95E-09,5.74E-05,1.56E-08
4.18E-16,4.27E-14,9.65E-17,5.52E-15,9.63E-19,0.999948385,1.46E-16,9.31E-06,4.71E-09,4.24E-05
0.000304636,2.09E-05,0.571638485,0.000268301,0.378752808,1.39E-07,0.048919039,2.45E-08,9.57E-05,3.30E-08
4.20E-29,1.07E-30,1.89E-30,1.85E-28,7.82E-34,3.90E-28,9.23E-29,8.49E-40,1,3.49E-36
3.84E-05,2.43E-06,0.065221901,5.15E-05,0.83751483,5.19E-06,0.096725023,9.03E-07,0.00043599,3.91E-06
0.999295374,2.68E-09,3.38E-08,3.73E-09,1.71E-11,8.93E-16,0.000704683,1.67E-23,2.78E-12,1.71E-22
0.988103102,4.55E-05,6.32E-05,0.000257965,8.85E-07,7.85E-11,0.011529138,2.74E-15,2.12E-07,1.51E-14
0.042946957,0.034371485,0.442625345,0.039599876,0.279940394,0.000225212,0.137931771,4.10E-05,0.02219637,0.000121699
1.79E-11,1.85E-09,4.87E-12,1.70E-09,1.35E-11,0.001226457,2.14E-11,0.103692798,2.57E-08,0.89508073
0.495931903,0.000211167,0.007794152,0.013695016,0.002921185,2.04E-05,0.478686257,4.52E-07,0.000737154,2.30E-06
